title,genre,budget,runtime,year,month,revenue
Avatar,Action,237000000,162.0,2009,12,2787965087
Pirates of the Caribbean: At World's End,Adventure,300000000,169.0,2007,5,961000000
Spectre,Action,245000000,148.0,2015,10,880674609
The Dark Knight Rises,Action,250000000,165.0,2012,7,1084939099
John Carter,Action,260000000,132.0,2012,3,284139100
Spider-Man 3,Fantasy,258000000,139.0,2007,5,890871626
Tangled,Animation,260000000,100.0,2010,11,591794936
Avengers: Age of Ultron,Action,280000000,141.0,2015,4,1405403694
Harry Potter and the Half-Blood Prince,Adventure,250000000,153.0,2009,7,933959197
Batman v Superman: Dawn of Justice,Action,250000000,151.0,2016,3,873260194
Superman Returns,Adventure,270000000,154.0,2006,6,391081192
Quantum of Solace,Adventure,200000000,106.0,2008,10,586090727
Pirates of the Caribbean: Dead Man's Chest,Adventure,200000000,151.0,2006,6,1065659812
The Lone Ranger,Action,255000000,149.0,2013,7,89289910
Man of Steel,Action,225000000,143.0,2013,6,662845518
The Chronicles of Narnia: Prince Caspian,Adventure,225000000,150.0,2008,5,419651413
The Avengers,Science Fiction,220000000,143.0,2012,4,1519557910
Pirates of the Caribbean: On Stranger Tides,Adventure,380000000,136.0,2011,5,1045713802
Men in Black 3,Action,225000000,106.0,2012,5,624026776
The Hobbit: The Battle of the Five Armies,Action,250000000,144.0,2014,12,956019788
The Amazing Spider-Man,Action,215000000,136.0,2012,6,752215857
Robin Hood,Action,200000000,140.0,2010,5,310669540
The Hobbit: The Desolation of Smaug,Adventure,250000000,161.0,2013,12,958400000
The Golden Compass,Adventure,180000000,113.0,2007,12,372234864
King Kong,Adventure,207000000,187.0,2005,12,550000000
Titanic,Drama,200000000,194.0,1997,11,1845034188
Captain America: Civil War,Adventure,250000000,147.0,2016,4,1153304495
Battleship,Thriller,209000000,131.0,2012,4,303025485
Jurassic World,Action,150000000,124.0,2015,6,1513528810
Skyfall,Action,200000000,143.0,2012,10,1108561013
Spider-Man 2,Action,200000000,127.0,2004,6,783766341
Iron Man 3,Action,200000000,130.0,2013,4,1215439994
Alice in Wonderland,,200000000,108.0,2010,3,1025491110
X-Men: The Last Stand,Adventure,210000000,104.0,2006,5,459359555
Monsters University,Animation,200000000,104.0,2013,6,743559607
Transformers: Revenge of the Fallen,Science Fiction,150000000,150.0,2009,6,836297228
Transformers: Age of Extinction,Science Fiction,210000000,165.0,2014,6,1091405097
Oz: The Great and Powerful,Fantasy,200000000,130.0,2013,3,491868548
The Amazing Spider-Man 2,Action,200000000,142.0,2014,4,705717432
TRON: Legacy,Adventure,170000000,125.0,2010,12,400062763
Cars 2,Animation,200000000,106.0,2011,6,559852396
Green Lantern,Adventure,200000000,114.0,2011,6,219851172
