iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AND,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,94.5674014716331,tonnes,annual,2023-10-06 00:00:00,
AND,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,103.08083034790656,tonnes,annual,2023-10-06 00:00:00,
ARE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,9013.33384477539,tonnes,annual,2023-10-06 00:00:00,
ARE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,16.0633661376748,tonnes,annual,2023-10-06 00:00:00,
ARE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,0.416458059074092,tonnes,annual,2023-10-06 00:00:00,
ARE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,9563.950453847372,tonnes,annual,2023-10-06 00:00:00,
ARE,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,10424.94687882674,tonnes,annual,2023-10-06 00:00:00,
ARG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,49781431.408163,tonnes,annual,2023-10-06 00:00:00,
ARG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,88719.3789360446,tonnes,annual,2023-10-06 00:00:00,
ARG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,2300.1320949703,tonnes,annual,2023-10-06 00:00:00,
ARG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,52822534.577150315,tonnes,annual,2023-10-06 00:00:00,
ARG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,57577893.2881223,tonnes,annual,2023-10-06 00:00:00,
ARM,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,53676.8258133097,tonnes,annual,2023-10-06 00:00:00,
ARM,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,95.6616361111241,tonnes,annual,2023-10-06 00:00:00,
ARM,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,2.48011655998027,tonnes,annual,2023-10-06 00:00:00,
ARM,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,56955.89413640689,tonnes,annual,2023-10-06 00:00:00,
ARM,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,62083.357831963134,tonnes,annual,2023-10-06 00:00:00,
ATG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,44.52383,tonnes,annual,2023-10-06 00:00:00,
ATG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,0.0793493,tonnes,annual,2023-10-06 00:00:00,
ATG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,0.002057203,tonnes,annual,2023-10-06 00:00:00,
ATG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,47.243747379,tonnes,annual,2023-10-06 00:00:00,
ATG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,51.496869859,tonnes,annual,2023-10-06 00:00:00,
AUS,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,15873302.2184864,tonnes,annual,2023-10-06 00:00:00,
