iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
DNK,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
IND,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
IND,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,2753485.27284717,tonnes,annual,2023-10-18 00:00:00,
IND,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
IND,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,74894799.42144303,tonnes,annual,2023-10-18 00:00:00,
IND,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,222481610.04605132,tonnes,annual,2023-10-18 00:00:00,
PAK,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
PAK,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,673635.717381298,tonnes,annual,2023-10-18 00:00:00,
PAK,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
PAK,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,18322891.512771305,tonnes,annual,2023-10-18 00:00:00,
PAK,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,54429765.96440888,tonnes,annual,2023-10-18 00:00:00,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,26759.294999849,tonnes,annual,2023-10-18 00:00:00,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,727852.8239958928,tonnes,annual,2023-10-18 00:00:00,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,2162151.035987799,tonnes,annual,2023-10-18 00:00:00,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,124514.507031351,tonnes,annual,2023-10-18 00:00:00,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,3386794.591252747,tonnes,annual,2023-10-18 00:00:00,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,10060772.16813316,tonnes,annual,2023-10-18 00:00:00,
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,15052.2769644309,tonnes,annual,2023-10-18 00:00:00,
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,409421.9334325205,tonnes,annual,2023-10-18 00:00:00,
ALB,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,1216223.9787260168,tonnes,annual,2023-10-18 00:00:00,
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,3611.29199147225,tonnes,annual,2023-10-18 00:00:00,
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,98227.1421680452,tonnes,annual,2023-10-18 00:00:00,
ARE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,291792.3929109578,tonnes,annual,2023-10-18 00:00:00,
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,2246591.87254399,tonnes,annual,2023-10-18 00:00:00,
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,61107298.93319653,tonnes,annual,2023-10-18 00:00:00,
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,181524623.3015544,tonnes,annual,2023-10-18 00:00:00,
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,25434.9899349213,tonnes,annual,2023-10-18 00:00:00,
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,691831.7262298594,tonnes,annual,2023-10-18 00:00:00,
ARM,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,2055147.1867416408,tonnes,annual,2023-10-18 00:00:00,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,966413.940662217,tonnes,annual,2023-10-18 00:00:00,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,26286459.186012305,tonnes,annual,2023-10-18 00:00:00,
AUS,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,78086246.40550713,tonnes,annual,2023-10-18 00:00:00,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,39836.786986947,tonnes,annual,2023-10-18 00:00:00,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,1083560.6060449583,tonnes,annual,2023-10-18 00:00:00,
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,3218812.3885453176,tonnes,annual,2023-10-18 00:00:00,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,60966.5670101643,tonnes,annual,2023-10-18 00:00:00,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,1658290.6226764687,tonnes,annual,2023-10-18 00:00:00,
AZE,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,4926098.614421275,tonnes,annual,2023-10-18 00:00:00,
BDI,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
BDI,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,15040.8589382172,tonnes,annual,2023-10-18 00:00:00,
BDI,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
BDI,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,409111.36311950785,tonnes,annual,2023-10-18 00:00:00,
BDI,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,1215301.4022079497,tonnes,annual,2023-10-18 00:00:00,
BEL,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
BEL,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,59814.7739673853,tonnes,annual,2023-10-18 00:00:00,
BEL,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
BEL,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,1626961.85191288,tonnes,annual,2023-10-18 00:00:00,
BEL,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,4833033.736564732,tonnes,annual,2023-10-18 00:00:00,
BEN,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
BEN,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,53809.4589482546,tonnes,annual,2023-10-18 00:00:00,
BEN,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
BEN,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,1463617.2833925253,tonnes,annual,2023-10-18 00:00:00,
BEN,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,4347804.283018972,tonnes,annual,2023-10-18 00:00:00,
BFA,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
BFA,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,223517.842926502,tonnes,annual,2023-10-18 00:00:00,
BFA,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
BFA,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,6079685.327600854,tonnes,annual,2023-10-18 00:00:00,
BFA,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,18060241.70846136,tonnes,annual,2023-10-18 00:00:00,
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,470718.161676884,tonnes,annual,2023-10-18 00:00:00,
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,12803533.997611243,tonnes,annual,2023-10-18 00:00:00,
BGD,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,38034027.46349223,tonnes,annual,2023-10-18 00:00:00,
BGR,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
BGR,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,11693.2639904618,tonnes,annual,2023-10-18 00:00:00,
BGR,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
GUY,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,2692.42399241775,tonnes,annual,2023-10-18 00:00:00,
GUY,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
GUY,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,73233.9325937628,tonnes,annual,2023-10-18 00:00:00,
GUY,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_20yr,217547.8585873542,tonnes,annual,2023-10-18 00:00:00,
HND,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2,,tonnes,annual,2023-10-18 00:00:00,
HND,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,ch4,111661.368210495,tonnes,annual,2023-10-18 00:00:00,
HND,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,n2o,,tonnes,annual,2023-10-18 00:00:00,
HND,2021-01-01 00:00:00,2021-12-31 00:00:00,enteric-fermentation-cattle-pasture,co2e_100yr,3037189.215325464,tonnes,annual,2023-10-18 00:00:00,
