InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C544414,22960,JAM MAKING SET WITH JARS,-2,2/18/2011 14:54,3.75,13408.0,United Kingdom
555276,48111,DOORMAT 3 SMILEY CATS,1,6/1/2011 17:28,15.79,,United Kingdom
575656,22952,60 CAKE CASES VINTAGE CHRISTMAS,48,11/10/2011 14:29,0.55,13319.0,United Kingdom
571636,20674,GREEN POLKADOT BOWL,16,10/18/2011 11:41,1.25,13509.0,United Kingdom
576657,22556,PLASTERS IN TIN CIRCUS PARADE ,12,11/16/2011 11:03,1.65,12720.0,Germany
569823,23298,SPOTTY BUNTING,1,10/6/2011 12:15,4.95,16895.0,United Kingdom
570185,21090,WET/MOULDY,-192,10/7/2011 14:56,0.0,,United Kingdom
574943,17091J,VANILLA INCENSE IN TIN,36,11/8/2011 7:52,0.38,13026.0,United Kingdom
561902,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,96,7/31/2011 15:50,0.85,17404.0,Sweden
550499,22138,BAKING SET 9 PIECE RETROSPOT ,1,4/18/2011 15:16,10.79,,United Kingdom
539112,22795,SWEETHEART RECIPE BOOK STAND,4,12/16/2010 11:15,6.75,13468.0,United Kingdom
569900,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,24,10/6/2011 16:17,0.29,17651.0,United Kingdom
541260,22962,JAM JAR WITH PINK LID,1,1/16/2011 15:44,0.85,16059.0,United Kingdom
573748,23530,WALL ART ONLY ONE PERSON ,6,11/1/2011 9:24,4.95,14911.0,EIRE
574629,22383,LUNCH BAG SUKI DESIGN ,1,11/6/2011 11:21,1.65,16326.0,United Kingdom
551340,22501,PICNIC BASKET WICKER LARGE,1,4/27/2011 17:23,20.79,,United Kingdom
549573,90003D,CRYSTAL PAIR HEART HAIR SLIDES,2,4/10/2011 16:01,3.75,14504.0,United Kingdom
573507,23252,VINTAGE RED ENAMEL TRIM JUG ,4,10/31/2011 12:11,3.75,13651.0,United Kingdom
C559189,22028,PENNY FARTHING BIRTHDAY CARD,-12,7/7/2011 10:25,0.42,12626.0,Germany
539044,22659,LUNCH BOX I LOVE LONDON,4,12/15/2010 15:47,1.95,15727.0,United Kingdom
548859,22178,VICTORIAN GLASS HANGING T-LIGHT,6,4/4/2011 13:32,1.25,13668.0,United Kingdom
579161,23309,SET OF 60 I LOVE LONDON CAKE CASES ,1,11/28/2011 13:56,0.55,17379.0,United Kingdom
559693,21620,SET OF 4 ROSE BOTANICAL CANDLES,1,7/11/2011 16:21,2.46,,United Kingdom
573876,47590A,BLUE HAPPY BIRTHDAY BUNTING,2,11/1/2011 12:48,5.45,16360.0,United Kingdom
539089,22303,COFFEE MUG APPLES DESIGN,6,12/16/2010 9:46,2.55,15246.0,United Kingdom
542102,22938,CUPCAKE LACE PAPER SET 6,24,1/25/2011 13:26,1.95,12744.0,Singapore
560926,23202,JUMBO BAG VINTAGE LEAF,6,7/22/2011 9:20,2.08,,United Kingdom
558371,22691,DOORMAT WELCOME SUNRISE,1,6/28/2011 15:44,12.46,,United Kingdom
549417,84880,WHITE WIRE EGG HOLDER,12,4/8/2011 11:44,6.65,14258.0,United Kingdom
574484,84692,BOX OF 24 COCKTAIL PARASOLS,25,11/4/2011 12:50,0.42,14388.0,United Kingdom
581266,22736,RIBBON REEL MAKING SNOWMEN ,10,12/8/2011 11:25,1.65,12621.0,Germany
544928,90013A,MIDNIGHT BLUE VINTAGE EARRINGS,1,2/24/2011 18:07,3.73,,United Kingdom
578347,21705,BAG 500g SWIRLY MARBLES,1,11/24/2011 9:26,3.29,,United Kingdom
575868,23508,MINI PLAYING CARDS DOLLY GIRL ,20,11/11/2011 12:44,0.42,12985.0,United Kingdom
C578073,M,Manual,-36,11/22/2011 16:02,0.56,18139.0,United Kingdom
553549,22115,METAL SIGN EMPIRE TEA,1,5/17/2011 16:09,5.79,,United Kingdom
578347,23211,RED ROCKING HORSE HAND PAINTED,1,11/24/2011 9:26,2.46,,United Kingdom
573166,22359,GLASS JAR KINGS CHOICE,6,10/28/2011 9:15,2.95,13089.0,United Kingdom
560090,21084,SET/6 COLLAGE PAPER CUPS,1,7/14/2011 16:46,0.83,,United Kingdom
549556,21096,SET/6 FRUIT SALAD  PAPER PLATES,10,4/10/2011 12:53,0.39,17372.0,United Kingdom
572511,23534,STOP FOR TEA WALL ART,4,10/24/2011 14:29,5.95,14895.0,United Kingdom
577358,22028,PENNY FARTHING BIRTHDAY CARD,1,11/18/2011 15:59,0.83,,United Kingdom
580720,23497,CLASSIC CHROME BICYCLE BELL ,1,12/5/2011 16:55,1.45,14629.0,United Kingdom
553013,22678,FRENCH BLUE METAL DOOR SIGN 3,1,5/12/2011 18:19,2.46,,United Kingdom
580983,22930,BAKING MOULD HEART MILK CHOCOLATE,1,12/6/2011 16:26,4.96,,United Kingdom
553702,22652,TRAVEL SEWING KIT,2,5/18/2011 14:50,1.65,13263.0,United Kingdom
558475,23168,CLASSIC CAFE SUGAR DISPENSER,1,6/29/2011 15:58,2.46,,United Kingdom
538008,22898,CHILDRENS APRON APPLES DESIGN,8,12/9/2010 12:17,1.95,12683.0,France
542344,22961,JAM MAKING SET PRINTED,1,1/27/2011 11:30,3.29,,United Kingdom
570685,23300,GARDENERS KNEELING PAD CUP OF TEA ,4,10/11/2011 16:25,1.65,13208.0,United Kingdom
543812,84849B,FAIRY SOAP SOAP HOLDER,1,2/13/2011 14:40,1.69,17472.0,United Kingdom
580432,35598D,PINK/WHITE CHRISTMAS TREE 60CM,48,12/4/2011 12:14,0.65,13153.0,United Kingdom
570087,20728,LUNCH BAG CARS BLUE,8,10/7/2011 11:26,4.96,,United Kingdom
563622,23317,BLUE REFECTORY CLOCK ,2,8/18/2011 10:21,9.95,15189.0,United Kingdom
539718,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,12/21/2010 13:06,1.28,,United Kingdom
574076,22356,CHARLOTTE BAG PINK POLKADOT,2,11/2/2011 15:38,1.63,,United Kingdom
541479,17003,BROCADE RING PURSE ,720,1/18/2011 11:54,0.16,16422.0,United Kingdom
C567704,22349,DOG BOWL CHASING BALL DESIGN,-12,9/22/2011 9:41,3.75,17716.0,United Kingdom
540482,22906,12 MESSAGE CARDS WITH ENVELOPES,1,1/7/2011 15:48,1.65,14672.0,United Kingdom
C560540,23306,SET OF 36 DOILIES PANTRY DESIGN,-1,7/19/2011 12:26,1.45,12415.0,Australia
578017,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,8,11/22/2011 13:07,1.25,13569.0,United Kingdom
554993,20724,RED RETROSPOT CHARLOTTE BAG,10,5/29/2011 14:13,0.85,17051.0,United Kingdom
537196,21313,GLASS HEART T-LIGHT HOLDER ,1,12/5/2010 13:55,0.85,15426.0,United Kingdom
539261,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,12/16/2010 14:34,2.55,15620.0,United Kingdom
562213,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,8/3/2011 13:39,2.95,13975.0,United Kingdom
579187,82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,3,11/28/2011 15:31,2.46,,United Kingdom
566025,22726,ALARM CLOCK BAKELIKE GREEN,1,9/8/2011 12:55,3.75,17634.0,United Kingdom
C558716,22418,10 COLOUR SPACEBOY PEN,-10,7/1/2011 13:22,0.85,17888.0,United Kingdom
566589,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,9/13/2011 14:50,1.25,14753.0,United Kingdom
551774,84212,"ASSORTED FLOWER COLOUR ""LEIS""",12,5/4/2011 11:12,0.65,14606.0,United Kingdom
581023,22630,DOLLY GIRL LUNCH BOX,3,12/7/2011 10:35,2.46,,United Kingdom
537685,21688,SILVER PLATE CANDLE BOWL SMALL,6,12/8/2010 10:21,2.95,18077.0,United Kingdom
